iteration requestId timestamp event
0 66310.1 131001.511239 requestWillBeSent
0 66310.1 131001.819925 responseReceived
0 66310.1 131001.856769 dataReceived
0 66310.1 131001.85653 loadingFinished
0 66310.2 131001.860163 requestWillBeSent
0 66310.3 131001.860258 requestWillBeSent
0 66310.4 131001.860317 requestWillBeSent
0 66310.5 131001.860441 requestWillBeSent
0 66310.6 131001.860588 requestWillBeSent
0 66310.2 131002.170931 responseReceived
0 66310.3 131002.178901 responseReceived
0 66310.3 131002.179405 dataReceived
0 66310.3 131002.178396 loadingFinished
0 66310.6 131002.186166 responseReceived
0 66310.4 131002.194455 responseReceived
0 66310.4 131002.195144 dataReceived
0 66310.4 131002.19389 loadingFinished
0 66310.5 131002.20171 responseReceived
0 66310.5 131002.224245 dataReceived
0 66310.5 131002.223938 loadingFinished
0 66310.2 131002.471822 dataReceived
0 66310.2 131002.471976 dataReceived
0 66310.2 131002.472081 dataReceived
0 66310.2 131002.472207 dataReceived
0 66310.2 131002.472331 dataReceived
0 66310.2 131002.472508 dataReceived
0 66310.2 131002.472515 loadingFinished
0 66310.6 131002.520991 dataReceived
0 66310.6 131002.52388 dataReceived
0 66310.6 131002.526186 dataReceived
0 66310.6 131002.666759 dataReceived
0 66310.6 131002.66694 dataReceived
0 66310.6 131002.667112 dataReceived
0 66310.6 131002.667176 dataReceived
0 66310.6 131002.831552 dataReceived
0 66310.6 131002.831822 dataReceived
0 66310.6 131002.831948 dataReceived
0 66310.6 131002.845363 dataReceived
0 66310.6 131002.845264 loadingFinished
0 66310.13 131002.871861 requestWillBeSent
0 66310.14 131002.884783 requestWillBeSent
0 66310.13 131003.17653 responseReceived
0 66310.14 131003.198385 responseReceived
0 66310.13 131003.280839 dataReceived
0 66310.13 131003.2807 loadingFinished
0 66310.15 131003.303861 requestWillBeSent
0 66310.14 131003.322944 dataReceived
0 66310.14 131003.323148 dataReceived
0 66310.14 131003.322794 loadingFinished
0 66310.16 131003.334371 requestWillBeSent
0 66310.15 131003.611184 requestWillBeSent
0 66310.16 131003.64183 requestWillBeSent
0 66310.15 131003.919336 responseReceived
0 66310.15 131003.919556 dataReceived
0 66310.15 131003.919036 loadingFinished
0 66310.16 131003.948595 requestWillBeSent
0 66310.16 131004.2569 responseReceived
0 66310.16 131004.414024 dataReceived
0 66310.16 131004.41423 dataReceived
0 66310.16 131004.414439 dataReceived
0 66310.16 131004.579103 dataReceived
0 66310.16 131004.579292 dataReceived
0 66310.16 131004.580165 dataReceived
0 66310.16 131004.743698 dataReceived
0 66310.16 131004.744379 dataReceived
0 66310.16 131004.744507 dataReceived
0 66310.16 131004.908846 dataReceived
0 66310.16 131004.909216 dataReceived
0 66310.16 131004.909354 dataReceived
0 66310.16 131005.07389 dataReceived
0 66310.16 131005.074073 dataReceived
0 66310.16 131005.074364 dataReceived
0 66310.16 131005.240038 dataReceived
0 66310.16 131005.24021 dataReceived
0 66310.16 131005.240268 dataReceived
0 66310.16 131005.240474 dataReceived
0 66310.16 131005.240696 dataReceived
0 66310.16 131005.240806 dataReceived
0 66310.16 131005.240625 loadingFinished
0 66310.17 131005.302532 requestWillBeSent
0 66310.18 131005.332648 requestWillBeSent
0 66310.19 131005.334112 requestWillBeSent
0 66310.20 131005.334414 requestWillBeSent
0 66310.21 131005.35046 requestWillBeSent
0 66310.17 131005.606336 responseReceived
0 66310.18 131005.65169 responseReceived
0 66310.20 131005.658418 responseReceived
0 66310.20 131005.658643 dataReceived
0 66310.20 131005.65811 loadingFinished
0 66310.19 131005.666456 responseReceived
0 66310.21 131005.689837 responseReceived
0 66310.21 131005.690185 dataReceived
0 66310.21 131005.689607 loadingFinished
0 66310.22 131005.695421 requestWillBeSent
0 66310.19 131005.740523 dataReceived
0 66310.19 131005.740361 loadingFinished
0 66310.18 131005.801392 dataReceived
0 66310.18 131005.801126 loadingFinished
0 66310.17 131005.869502 dataReceived
0 66310.17 131005.869831 dataReceived
0 66310.17 131005.869928 dataReceived
0 66310.22 131006.011538 responseReceived
0 66310.17 131006.064042 dataReceived
0 66310.17 131006.06418 dataReceived
0 66310.17 131006.064501 dataReceived
0 66310.17 131006.243494 dataReceived
0 66310.17 131006.243637 dataReceived
0 66310.17 131006.243454 loadingFinished
0 66310.24 131006.283791 requestWillBeSent
0 66310.25 131006.303028 requestWillBeSent
0 66310.26 131006.310516 requestWillBeSent
0 66310.27 131006.312652 requestWillBeSent
0 66310.22 131006.317066 dataReceived
0 66310.22 131006.320255 dataReceived
0 66310.22 131006.322709 dataReceived
0 66310.22 131006.341277 dataReceived
0 66310.22 131006.341156 loadingFinished
0 66310.28 131006.359588 requestWillBeSent
0 66310.29 131006.473423 requestWillBeSent
0 66310.24 131006.588895 responseReceived
0 66310.24 131006.589154 dataReceived
0 66310.24 131006.588739 loadingFinished
0 66310.30 131006.594562 requestWillBeSent
0 66310.31 131006.594813 requestWillBeSent
0 66310.25 131006.611338 responseReceived
0 66310.26 131006.625813 responseReceived
0 66310.27 131006.63425 responseReceived
0 66310.25 131006.641056 dataReceived
0 66310.25 131006.640745 loadingFinished
0 66310.33 131006.649672 requestWillBeSent
0 66310.27 131006.671358 dataReceived
0 66310.27 131006.670932 loadingFinished
0 66310.28 131006.678748 responseReceived
0 66310.28 131006.678979 dataReceived
0 66310.28 131006.678492 loadingFinished
0 66310.34 131006.681626 requestWillBeSent
0 66310.26 131006.716612 dataReceived
0 66310.26 131006.716395 loadingFinished
0 66310.29 131006.791126 responseReceived
0 66310.29 131006.791449 dataReceived
0 66310.29 131006.790617 loadingFinished
0 66310.30 131006.904547 responseReceived
0 66310.31 131006.911482 responseReceived
0 66310.30 131006.949332 dataReceived
0 66310.30 131006.949109 loadingFinished
0 66310.31 131006.955932 dataReceived
