iteration requestId timestamp event
0 64622.1 129079.191034 requestWillBeSent
0 64622.1 129079.521928 responseReceived
0 64622.1 129079.684848 dataReceived
0 64622.1 129079.688117 dataReceived
0 64622.1 129079.688337 dataReceived
0 64622.1 129079.688495 dataReceived
0 64622.2 129079.692772 requestWillBeSent
0 64622.3 129079.692891 requestWillBeSent
0 64622.10 129079.720346 requestWillBeSent
0 64622.17 129079.72439 requestWillBeSent
0 64622.21 129079.761927 requestWillBeSent
0 64622.21 129079.769066 resourceChangedPriority
0 64622.3 129079.769116 resourceChangedPriority
0 64622.22 129079.77558 requestWillBeSent
0 64622.1 129079.841901 dataReceived
0 64622.1 129079.842579 dataReceived
0 64622.1 129079.842723 dataReceived
0 64622.1 129079.842861 dataReceived
0 64622.1 129079.864676 dataReceived
0 64622.1 129079.863769 loadingFinished
0 64622.2 129079.999452 responseReceived
0 64622.3 129080.006609 responseReceived
0 64622.2 129080.045034 dataReceived
0 64622.2 129080.044898 loadingFinished
0 64622.3 129080.052624 dataReceived
0 64622.3 129080.052405 loadingFinished
0 64622.10 129080.059005 responseReceived
0 64622.17 129080.067159 responseReceived
0 64622.23 129080.080218 requestWillBeSent
0 64622.17 129080.127295 dataReceived
0 64622.22 129080.179976 responseReceived
0 64622.10 129080.194561 dataReceived
0 64622.10 129080.19453 loadingFinished
0 64622.17 129080.229791 dataReceived
0 64622.17 129080.229933 dataReceived
0 64622.17 129080.229798 loadingFinished
0 64622.22 129080.367683 dataReceived
0 64622.22 129080.36856 dataReceived
0 64622.22 129080.368735 dataReceived
0 64622.22 129080.368914 dataReceived
0 64622.21 129080.471297 responseReceived
0 64622.23 129080.479996 responseReceived
0 64622.21 129080.584335 dataReceived
0 64622.21 129080.58405 loadingFinished
0 64622.22 129080.645644 dataReceived
0 64622.22 129080.64749 dataReceived
0 64622.22 129080.647636 dataReceived
0 64622.23 129080.832198 dataReceived
0 64622.23 129080.832316 dataReceived
0 64622.23 129080.832517 dataReceived
0 64622.22 129080.974483 dataReceived
0 64622.22 129080.974834 dataReceived
0 64622.22 129080.975403 dataReceived
0 64622.23 129080.981611 dataReceived
0 64622.23 129080.9817 dataReceived
0 64622.23 129080.981594 loadingFinished
0 64622.24 129081.028625 requestWillBeSent
0 64622.22 129081.146893 dataReceived
0 64622.22 129081.150389 dataReceived
0 64622.22 129081.150487 dataReceived
0 64622.22 129081.150546 dataReceived
0 64622.22 129081.266674 dataReceived
0 64622.22 129081.266925 dataReceived
0 64622.22 129081.267031 dataReceived
0 64622.22 129081.26686 loadingFinished
0 64622.25 129081.384353 requestWillBeSent
0 64622.25 undefined requestServedFromCache
0 64622.25 129081.384372 responseReceived
0 64622.25 129081.384374 dataReceived
0 64622.25 129081.384375 loadingFinished
0 64622.27 129081.390156 requestWillBeSent
0 64622.27 undefined requestServedFromCache
0 64622.27 129081.390169 responseReceived
0 64622.27 129081.390171 dataReceived
0 64622.27 129081.390172 loadingFinished
0 64622.29 129081.399289 requestWillBeSent
0 64622.30 129081.400576 requestWillBeSent
0 64622.24 129081.404853 responseReceived
0 64622.24 129081.523196 dataReceived
0 64622.24 129081.523416 dataReceived
0 64622.24 129081.524663 dataReceived
0 64622.24 129081.566659 dataReceived
0 64622.24 129081.566496 loadingFinished
0 64622.29 129081.709686 responseReceived
0 64622.30 129081.717326 responseReceived
0 64622.30 129081.717539 dataReceived
0 64622.30 129081.716971 loadingFinished
0 64622.29 129081.874323 dataReceived
0 64622.29 129081.874469 dataReceived
0 64622.29 129081.874545 dataReceived
0 64622.29 129081.903349 dataReceived
0 64622.29 129081.903269 loadingFinished
0 64622.31 129081.939725 requestWillBeSent
0 64622.32 129081.944057 requestWillBeSent
1 64622.31 129082.249283 responseReceived
1 64622.32 129082.256687 responseReceived
1 64622.32 129082.25651 loadingFinished
1 64622.31 129082.338875 dataReceived
1 64622.31 129082.338739 loadingFinished
1 64622.33 129083.938571 requestWillBeSent
1 64622.33 129084.318584 responseReceived
1 64622.33 129084.318875 loadingFinished
1 64622.34 129086.954357 requestWillBeSent
1 64622.34 129087.268425 responseReceived
1 64622.34 129087.424769 dataReceived
1 64622.34 129087.431518 dataReceived
1 64622.34 129087.431668 dataReceived
1 64622.34 129087.431721 dataReceived
1 64622.35 129087.433172 requestWillBeSent
1 64622.36 129087.433296 requestWillBeSent
1 64622.43 129087.445163 requestWillBeSent
1 64622.50 129087.445429 requestWillBeSent
