iteration requestId timestamp event
0 64622.1651 129610.459115 requestWillBeSent
0 64622.1651 129610.767753 responseReceived
0 64622.1651 129610.924663 dataReceived
0 64622.1651 129610.93087 dataReceived
0 64622.1651 129610.930981 dataReceived
0 64622.1651 129610.93104 dataReceived
0 64622.1652 129610.932442 requestWillBeSent
0 64622.1652 undefined requestServedFromCache
0 64622.1652 129610.932473 responseReceived
0 64622.1652 129610.932475 dataReceived
0 64622.1652 129610.932475 loadingFinished
0 64622.1653 129610.9326 requestWillBeSent
0 64622.1653 undefined requestServedFromCache
0 64622.1653 129610.932627 responseReceived
0 64622.1653 129610.932628 dataReceived
0 64622.1653 129610.932629 loadingFinished
0 64622.1660 129610.961752 requestWillBeSent
0 64622.1660 undefined requestServedFromCache
0 64622.1660 129610.961793 responseReceived
0 64622.1660 129610.961795 dataReceived
0 64622.1660 129610.961796 loadingFinished
0 64622.1667 129610.962192 requestWillBeSent
0 64622.1667 undefined requestServedFromCache
0 64622.1667 129610.962225 responseReceived
0 64622.1667 129610.962226 dataReceived
0 64622.1667 129610.962227 loadingFinished
0 64622.1671 129610.968785 requestWillBeSent
0 64622.1671 undefined requestServedFromCache
0 64622.1671 129610.968814 responseReceived
0 64622.1671 129610.968818 dataReceived
0 64622.1671 129610.968819 loadingFinished
0 64622.1672 129610.974693 requestWillBeSent
0 64622.1672 129610.975699 responseReceived
0 64622.1672 129610.975928 dataReceived
0 64622.1672 129610.990704 dataReceived
0 64622.1672 129610.990795 dataReceived
0 64622.1672 129610.990962 dataReceived
0 64622.1672 129610.990997 dataReceived
0 64622.1672 129610.991137 dataReceived
0 64622.1672 129610.991176 dataReceived
0 64622.1672 129610.991202 dataReceived
0 64622.1672 129610.99126 dataReceived
0 64622.1672 129610.9913 dataReceived
0 64622.1672 129610.991414 dataReceived
0 64622.1672 129610.991594 dataReceived
0 64622.1672 129610.991675 dataReceived
0 64622.1672 129610.991728 dataReceived
0 64622.1672 129610.991745 dataReceived
0 64622.1672 129610.991794 dataReceived
0 64622.1672 129610.991838 dataReceived
0 64622.1672 129610.97862 loadingFinished
0 64622.1651 129611.089027 dataReceived
0 64622.1651 129611.091276 dataReceived
0 64622.1651 129611.092442 dataReceived
0 64622.1651 129611.092818 dataReceived
0 64622.1651 129611.145199 dataReceived
0 64622.1651 129611.112313 loadingFinished
0 64622.1673 129611.228199 requestWillBeSent
0 64622.1673 undefined requestServedFromCache
0 64622.1673 129611.228241 responseReceived
0 64622.1673 129611.228243 dataReceived
0 64622.1673 129611.228244 loadingFinished
0 64622.1674 129611.231347 requestWillBeSent
0 64622.1674 undefined requestServedFromCache
0 64622.1674 129611.231365 responseReceived
0 64622.1674 129611.231367 dataReceived
0 64622.1674 129611.231368 loadingFinished
0 64622.1675 129611.236891 requestWillBeSent
0 64622.1675 undefined requestServedFromCache
0 64622.1675 129611.236904 responseReceived
0 64622.1675 129611.236905 dataReceived
0 64622.1675 129611.236907 loadingFinished
0 64622.1676 129611.247923 requestWillBeSent
0 64622.1676 129611.275266 responseReceived
0 64622.1676 129611.275581 dataReceived
0 64622.1676 129611.275695 dataReceived
0 64622.1676 129611.275806 dataReceived
0 64622.1676 129611.275841 dataReceived
0 64622.1676 129611.251297 loadingFinished
0 64622.1677 129611.309364 requestWillBeSent
0 64622.1678 129611.313062 requestWillBeSent
1 64622.1677 129611.321102 responseReceived
1 64622.1677 129611.321261 dataReceived
1 64622.1677 129611.31026 loadingFinished
1 64622.1679 129611.473439 requestWillBeSent
1 64622.1679 129611.474627 responseReceived
1 64622.1679 129611.475532 dataReceived
1 64622.1679 129611.475915 dataReceived
1 64622.1679 129611.476167 dataReceived
1 64622.1679 129611.476371 dataReceived
1 64622.1679 129611.476586 dataReceived
1 64622.1679 129611.475237 loadingFinished
1 64622.1680 129611.494844 requestWillBeSent
1 64622.1680 129611.505747 responseReceived
1 64622.1680 129611.505878 dataReceived
1 64622.1680 129611.505961 dataReceived
1 64622.1680 129611.506 dataReceived
1 64622.1680 129611.506042 dataReceived
1 64622.1680 129611.496611 loadingFinished
1 64622.1678 129611.622146 responseReceived
1 64622.1678 129611.621885 loadingFinished
1 64622.1681 129613.307947 requestWillBeSent
1 64622.1681 129613.617239 responseReceived
1 64622.1681 129613.616934 loadingFinished
1 64622.1682 129616.322231 requestWillBeSent
1 64622.1682 129616.633408 responseReceived
1 64622.1682 129616.789829 dataReceived
1 64622.1682 129616.796603 dataReceived
1 64622.1682 129616.796735 dataReceived
1 64622.1682 129616.796826 dataReceived
1 64622.1683 129616.798222 requestWillBeSent
1 64622.1684 129616.798339 requestWillBeSent
1 64622.1691 129616.816762 requestWillBeSent
1 64622.1698 129616.816985 requestWillBeSent
1 64622.1702 129616.852759 requestWillBeSent
1 64622.1702 129616.853739 resourceChangedPriority
1 64622.1684 129616.85375 resourceChangedPriority
1 64622.1703 129616.858195 requestWillBeSent
1 64622.1682 129616.954769 dataReceived
1 64622.1682 129616.954867 dataReceived
1 64622.1682 129616.954916 dataReceived
1 64622.1682 129616.954986 dataReceived
1 64622.1682 129616.976624 dataReceived
1 64622.1682 129616.976549 loadingFinished
1 64622.1683 129617.104799 responseReceived
1 64622.1684 129617.112257 responseReceived
1 64622.1683 129617.14994 dataReceived
1 64622.1683 129617.149366 loadingFinished
1 64622.1684 129617.156921 dataReceived
1 64622.1684 129617.156716 loadingFinished
1 64622.1691 129617.16378 responseReceived
1 64622.1698 129617.171855 responseReceived
1 64622.1702 129617.179481 responseReceived
1 64622.1704 129617.18553 requestWillBeSent
1 64622.1703 129617.187183 responseReceived
1 64622.1702 129617.300244 dataReceived
1 64622.1702 129617.299929 loadingFinished
1 64622.1691 129617.405129 dataReceived
1 64622.1691 129617.404884 loadingFinished
1 64622.1698 129617.414874 dataReceived
1 64622.1698 129617.411952 loadingFinished
1 64622.1704 129617.501801 responseReceived
1 64622.1703 129617.525148 dataReceived
1 64622.1703 129617.525333 dataReceived
1 64622.1703 129617.528527 dataReceived
1 64622.1703 129617.528627 dataReceived
1 64622.1704 129617.817118 dataReceived
1 64622.1704 129617.817309 dataReceived
1 64622.1704 129617.81745 dataReceived
1 64622.1703 129617.85497 dataReceived
1 64622.1703 129617.855162 dataReceived
1 64622.1703 129617.856368 dataReceived
1 64622.1704 129617.967184 dataReceived
1 64622.1704 129617.96731 dataReceived
1 64622.1704 129617.96701 loadingFinished
1 64622.1705 129618.000168 requestWillBeSent
1 64622.1703 129618.080498 dataReceived
1 64622.1703 129618.084491 dataReceived
1 64622.1703 129618.0846 dataReceived
1 64622.1703 129618.246231 dataReceived
1 64622.1703 129618.246388 dataReceived
1 64622.1703 129618.246636 dataReceived
1 64622.1703 129618.246815 dataReceived
1 64622.1705 129618.312283 responseReceived
1 64622.1703 129618.425798 dataReceived
1 64622.1703 129618.426091 dataReceived
1 64622.1703 129618.426302 dataReceived
1 64622.1703 129618.425953 loadingFinished
1 64622.1706 129618.537103 requestWillBeSent
1 64622.1706 undefined requestServedFromCache
1 64622.1706 129618.537121 responseReceived
1 64622.1706 129618.537151 dataReceived
1 64622.1706 129618.537154 loadingFinished
1 64622.1708 129618.541866 requestWillBeSent
1 64622.1708 undefined requestServedFromCache
1 64622.1708 129618.541877 responseReceived
1 64622.1708 129618.541879 dataReceived
1 64622.1708 129618.54188 loadingFinished
1 64622.1710 129618.551068 requestWillBeSent
1 64622.1711 129618.552455 requestWillBeSent
1 64622.1705 129618.559434 dataReceived
1 64622.1705 129618.559621 dataReceived
1 64622.1705 129618.559666 dataReceived
1 64622.1705 129618.582211 dataReceived
1 64622.1705 129618.582064 loadingFinished
1 64622.1710 129618.860026 responseReceived
1 64622.1711 129618.868603 responseReceived
1 64622.1711 129618.868893 dataReceived
1 64622.1711 129618.868105 loadingFinished
1 64622.1710 129619.025161 dataReceived
1 64622.1710 129619.025532 dataReceived
1 64622.1710 129619.025857 dataReceived
1 64622.1710 129619.054836 dataReceived
1 64622.1710 129619.054672 loadingFinished
1 64622.1712 129619.079793 requestWillBeSent
1 64622.1713 129619.083181 requestWillBeSent
2 64622.1712 129619.391284 responseReceived
2 64622.1713 129619.399468 responseReceived
2 64622.1713 129619.399261 loadingFinished
2 64622.1712 129619.475093 dataReceived
2 64622.1712 129619.474842 loadingFinished
2 64622.1714 129621.079428 requestWillBeSent
2 64622.1714 129621.387575 responseReceived
2 64622.1714 129621.387896 loadingFinished
2 64622.1715 129624.089325 requestWillBeSent
2 64622.1715 129624.395431 responseReceived
2 64622.1715 129624.55272 dataReceived
2 64622.1715 129624.558896 dataReceived
2 64622.1715 129624.558983 dataReceived
2 64622.1715 129624.559037 dataReceived
2 64622.1716 129624.560665 requestWillBeSent
2 64622.1717 129624.560859 requestWillBeSent
